Neurog3>0_raw,Neurog3>0_scaled,cell,cell_ontology_class,cell_ontology_id,cluster.ids,free_annotation,mouse.id,mouse.sex,plate.barcode,subsetA,subsetA_cluster.ids,subsetB,subsetB_cluster.ids,subsetC,subsetC_cluster.ids,subsetD,subsetD_cluster.ids,subsetE,subsetE_cluster.ids,subtissue,tissue,tissue_tSNE_1,tissue_tSNE_2
,,L21.MAA000399.3_9_M.1.1,myofibroblast cell,CL:0000186,7,Myofibroblast,3_9_M,M,MAA000399,True,1.0,,,,,,,,,RV,Heart,-16.469105713033677,-34.909707235017024
,,L21.MAA000400.3_8_M.1.1,fibroblast,CL:0000057,0,fibroblast,3_8_M,M,MAA000400,False,,,,,,,,,,LA,Heart,6.3023958954010615,19.719292257350105
,,L21.MAA000452.3_8_M.1.1,leukocyte,CL:0000738,10,leukocyte,3_8_M,M,MAA000452,False,,,,,,,,,,RV,Heart,1.741310346947044,-25.783767939505967
,,L21.MAA000586.3_8_M.1.1,fibroblast,CL:0000057,1,fibroblast,3_8_M,M,MAA000586,False,,,,,,,,,,RA,Heart,23.48390730182677,28.08210173860849
,,L21.MAA000919.3_10_M.1.1,cardiac muscle cell,CL:0000746,9,cardiac muscle cell,3_10_M,M,MAA000919,False,,,,,,,,,,LA,Heart,-6.281292931040679,27.960341602126235
,,L22.B000412.3_56_F.1.1,endothelial cell,CL:0000115,2,endothelial cell,3_56_F,F,B000412,False,,,,,,,,,,RA,Heart,-32.67161412841858,-9.499859908749835
,,L22.B000633.3_56_F.1.1,leukocyte,CL:0000738,4,leukocyte,3_56_F,F,B000633,False,,,,,,,,,,RV,Heart,12.512914217029412,-25.49200788996409
,,L22.B002010.3_39_F.1.1,fibroblast,CL:0000057,0,fibroblast,3_39_F,F,B002010,False,,,,,,,,,,RA,Heart,14.520689418957298,5.529819436268538
,,L22.B002423.3_39_F.1.1,endothelial cell,CL:0000115,2,endothelial cell,3_39_F,F,B002423,False,,,,,,,,,,RV,Heart,-29.798595353009148,-1.5851494011277647
,,L22.B002427.3_39_F.1.1,fibroblast,CL:0000057,3,fibroblast,3_39_F,F,B002427,False,,,,,,,,,,LA,Heart,-4.2035323575168935,-8.206609602559347
,,L22.B002428.3_38_F.1.1,fibroblast,CL:0000057,0,fibroblast,3_38_F,F,B002428,False,,,,,,,,,,LA,Heart,-1.1101507034044904,-2.173439044802234
,,L22.MAA000398.3_9_M.1.1,fibroblast,CL:0000057,1,fibroblast,3_9_M,M,MAA000398,False,,,,,,,,,,LA,Heart,17.244840166689233,20.351228530211344
